Folder	Filename	nInterval	Label_interval	F0	F1	F2	F3	F4	Start_point	Duration_ms	Intensity_dB
	bacho_voiced_f_928_2	2	vowel	176	811	1305	2964	3517	2.236256439077863	78	77
	bacho_voiced_m_198_1	2	vowel	123	571	1277	2456	3057	2.2084885870854927	116	79
	baso_voiced_f_007	2	vowel	140	786	1239	2413	3338	2.1352111672379723	114	80
	baso_voiced_f_863	2	vowel	160	984	1519	2763	3953	2.2307495974068	95	76
	baso_voiced_f_928	2	vowel	176	708	1179	2163	3101	2.295602522494496	73	80
	baso_voiced_m_198	2	vowel	122	575	1189	2421	3394	2.2187323025843564	113	78
	baso_voiced_m_355_1	2	vowel	153	789	1251	2745	3331	2.191110452692177	56	80
	baso_voiced_m_377	2	vowel	88	725	1101	2592	3589	2.2581004351153364	128	73
	belo_voiced_f_928	2	vowel	212	453	2169	2853	3751	2.2203506556384696	106	76
	belo_voiced_m_198_2	2	vowel	129	429	1652	2278	3166	2.230858621566217	119	75
	beno_voiced_f_007	2	vowel	136	480	2043	2571	4139	2.2459245549658347	95	75
	beno_voiced_f_863_2	2	vowel	170	424	2070	2784	3887	2.243088569256793	137	76
	beno_voiced_f_928_1	2	vowel	196	402	2244	2459	3325	2.2774153221837947	100	77
	beno_voiced_m_198	2	vowel	125	418	1721	2357	3233	2.229321765682119	131	75
	beno_voiced_m_355_2	2	vowel	159	517	2042	2575	3497	2.2031719865498656	121	76
	beno_voiced_m_377_1	2	vowel	100	389	1943	2592	3357	2.273557307230814	130	79
	bicho_voiced_f_928	2	vowel	219	263	2533	3138	4172	2.1929594303242315	107	77
	bicho_voiced_m_198	2	vowel	135	299	2086	2741	3372	2.227773844668762	87	77
	bimo_voiced_f_007	2	vowel	152	326	2356	2836	3907	2.2240218793913544	122	74
	bimo_voiced_f_863	2	vowel	178	331	2600	2997	3795	2.261261915949617	102	75
	bimo_voiced_f_928	2	vowel	227	310	2531	3074	3667	2.308667962907131	86	75
	bimo_voiced_m_198	2	vowel	130	285	1920	2630	3362	2.2269330315326483	121	74
	bimo_voiced_m_355_1	2	vowel	168	324	2376	2821	3379	2.210887470373927	115	75
	bimo_voiced_m_377_1	2	vowel	95	218	2274	3125	3344	2.2465303808677723	139	77
	bolo_voiced_f_928	2	vowel	200	413	1047	2734	3272	2.2962966169132173	103	77
