vowel,word,voicing,sex,talker_id,f0,f1,f2,f3,f4,start_point,duration_ms,intensity_db,f1_norm,f2_norm,vot_duration_ms,two_talker,six_talker
a,bacho,voiced,f,928,176,811,1305,2964,3517,2.236256439077863,78,77,1.9635759971103879,-0.4327315165614332,-121.16722603662123,y,n
a,bacho,voiced,m,198,123,571,1277,2456,3057,2.2084885870854927,116,79,1.3611404074288656,-0.1309033669431648,-85.52698140162818,y,n
a,baso,voiced,f,007,140,786,1239,2413,3338,2.1352111672379723,114,80,1.7176807310590305,-0.38446534777451913,-22.1034887080247,n,y
a,baso,voiced,f,863,160,984,1519,2763,3953,2.2307495974068,95,76,2.153395687313848,-0.1458970242000918,-109.97773053038972,n,y
a,baso,voiced,f,928,176,708,1179,2163,3101,2.295602522494496,73,80,1.3632544545091116,-0.6169036870959396,-185.44470061857953,y,y
a,baso,voiced,m,198,122,575,1189,2421,3394,2.2187323025843564,113,78,1.3977794493515807,-0.3096387632348404,-100.15988313042534,y,y
a,baso,voiced,m,355,153,789,1251,2745,3331,2.191110452692177,56,80,1.6151292764416132,-0.39823909944966807,-69.87392169873897,n,y
a,baso,voiced,m,377,88,725,1101,2592,3589,2.2581004351153364,128,73,1.6910780284562053,-0.4298038037898429,-125.17484392562616,n,y
e,belo,voiced,f,928,212,453,2169,2853,3751,2.2203506556384696,106,76,-0.12297849076589264,0.8301633671037529,-93.2530767740718,y,n
e,belo,voiced,m,198,129,429,1652,2278,3166,2.230858621566217,119,75,0.060454419172480095,0.6307531513452257,-94.73929799897451,y,n
e,beno,voiced,f,007,136,480,2043,2571,4139,2.2459245549658347,95,75,0.022163622336245557,0.8705494293700746,-83.50178155756849,n,y
e,beno,voiced,f,863,170,424,2070,2784,3887,2.243088569256793,137,76,-0.25937258978850264,0.63533971374209,-126.77803583278013,n,y
e,beno,voiced,f,928,196,402,2244,2459,3325,2.2774153221837947,100,77,-0.4202250798208935,0.9397896590885781,-147.06107326805994,y,y
e,beno,voiced,m,198,125,418,1721,2357,3233,2.229321765682119,131,75,-0.04030294611498638,0.7708979507102894,-90.60608016708116,y,y
e,beno,voiced,m,355,159,517,2042,2575,3497,2.2031719865498656,121,76,0.0849475864655813,0.8673580386165728,-74.60150006695886,n,y
e,beno,voiced,m,377,100,389,1943,2592,3357,2.273557307230814,130,79,-0.17739358470158798,0.8070205393101155,-141.9141726365396,n,y
i,bicho,voiced,f,928,219,263,2533,3138,4172,2.1929594303242315,107,77,-1.2303677441080527,1.3622163042034379,-62.771949737100655,y,n
i,bicho,voiced,m,198,135,299,2086,2741,3372,2.227773844668762,87,77,-1.1303144433157601,1.5122436285109895,-101.95255826215632,y,n
i,bimo,voiced,f,007,152,326,2356,2836,3907,2.2240218793913544,122,74,-0.8311358376092083,1.359131052810694,-95.19266025366191,n,y
i,bimo,voiced,f,863,178,331,2600,2997,3795,2.261261915949617,102,75,-0.6600644643787144,1.386801548786294,-130.79362972793618,n,y
i,bimo,voiced,f,928,227,310,2531,3074,3667,2.308667962907131,86,75,-0.9564346130181499,1.3592929364171757,-141.60155329550506,y,y
i,bimo,voiced,m,198,130,285,1920,2630,3362,2.2269330315326483,121,74,-1.2585510900452628,1.1750836764153287,-89.71943289591877,y,y
